"","ID","date","Value","FunSys_item","EqGr","EqGr_no","ComGr_no","Unit","MsureGr","MsureGr_lvl"
"114","01CT022_XQ60",2007-07-18,42.2805693648727,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"115","01CT022_XQ60",2007-07-19,41.9387333207413,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"116","01CT022_XQ60",2007-07-20,41.9483021789757,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"117","01CT022_XQ60",2007-07-21,41.8981869263652,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"118","01CT022_XQ60",2007-07-22,40.7351486508356,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"119","01CT022_XQ60",2007-07-23,39.1985934832853,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"120","01CT022_XQ60",2007-07-24,40.5416269179959,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"121","01CT022_XQ60",2007-07-25,40.7912166712228,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"122","01CT022_XQ60",2007-07-26,40.7727149562465,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"123","01CT022_XQ60",2007-07-27,40.5991923917789,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"124","01CT022_XQ60",2007-07-28,41.3353099746267,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"125","01CT022_XQ60",2007-07-29,39.9544230096973,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"126","01CT022_XQ60",2007-07-30,39.2211442185347,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"127","01CT022_XQ60",2007-07-31,38.7002596809514,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"128","01CT022_XQ60",2007-08-01,38.12936783,"01","CT","022_X","XQ60","degC","T_COMP","MBA01GD020"
"129","01CT023_XQ60",2007-07-01,37.6483587834728,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"130","01CT023_XQ60",2007-07-02,38.1257503854097,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"131","01CT023_XQ60",2007-07-03,37.8820117691528,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
"132","01CT023_XQ60",2007-07-04,36.48535842611,"01","CT","023_X","XQ60","degC","T_COMP","MBA01GD020"
